EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1618271860.430640,1750692.000,50702,2,AK,1,100,49798
1618271863.060975,1753241.000,50702,2,AK,1,100,RD
1618271863.067682,1753247.500,50704,2,AK,1,100,50700
1618271863.074389,1753254.000,50704,2,AK,1,100,RD
1618271865.725362,1755823.000,51607,2,AK,1,100,50700
1618271868.376334,1758392.000,51607,2,AK,1,100,RD
1618271868.383557,1758399.000,51609,2,AK,1,100,51605
1618271868.390781,1758406.000,51609,2,AK,1,100,RD
1618271871.015955,1760950.000,52339,2,AK,1,100,51605
1618271873.641130,1763494.000,52339,2,AK,1,100,RD
1618271873.647321,1763500.000,52341,2,AK,1,100,52337
1618271873.653513,1763506.000,52341,2,AK,1,100,RD
1618271876.285395,1766056.500,53226,2,AK,1,100,52337
1618271878.917277,1768607.000,53226,2,AK,1,100,RD
1618271878.958553,1768647.000,53228,2,AK,1,100,53224
1618271878.999830,1768687.000,53228,2,AK,1,100,RD
1618271881.609525,1771216.000,54129,2,AK,1,100,53224
1618271884.219221,1773745.000,54129,2,AK,1,100,RD
1618271884.226961,1773752.500,54131,2,AK,1,100,54127
1618271884.234700,1773760.000,54131,2,AK,1,100,RD
1618271886.860906,1776305.000,55034,2,AK,1,100,54127
1618271889.487113,1778850.000,55034,2,AK,1,100,RD
1618271889.520134,1778882.000,55036,2,AK,1,100,55032
1618271889.553155,1778914.000,55036,2,AK,1,100,RD
1618271892.175234,1781455.000,55938,2,AK,1,100,55032
1618271894.797313,1783996.000,55938,2,AK,1,100,RD
1618271894.804020,1784002.500,55940,2,AK,1,100,55936
1618271894.810728,1784009.000,55940,2,AK,1,100,RD
1618271897.449317,1786566.000,56840,2,AK,1,100,55936
1618271900.087906,1789123.000,56840,2,AK,1,100,RD
1618271900.094098,1789129.000,56842,2,AK,1,100,56838
1618271900.100289,1789135.000,56842,2,AK,1,100,RD
1618271902.737331,1791690.500,57744,2,AK,1,100,56838
1618271905.374372,1794246.000,57744,2,AK,1,100,RD
1618271905.394494,1794265.500,57746,2,AK,1,100,57742
1618271905.414617,1794285.000,57746,2,AK,1,100,RD
1618271908.045983,1796835.000,58649,2,AK,1,100,57742
1618271910.677349,1799385.000,58649,2,AK,1,100,RD
1618271910.714497,1799421.000,58651,2,AK,1,100,58647
1618271910.751646,1799457.000,58651,2,AK,1,100,RD
1618271913.355150,1801980.000,59553,2,AK,1,100,58647
1618271915.958655,1804503.000,59553,2,AK,1,100,RD
1618271915.964330,1804508.500,59555,2,AK,1,100,59551
1618271915.970006,1804514.000,59555,2,AK,1,100,RD
1618271918.601888,1807064.500,60456,2,AK,1,100,59551
1618271921.233770,1809615.000,60456,2,AK,1,100,RD
1618271921.264211,1809644.500,60458,2,AK,1,100,60454
1618271921.294652,1809674.000,60458,2,AK,1,100,RD
1618271923.911572,1812210.000,61359,2,AK,1,100,60454
1618271926.528491,1814746.000,61359,2,AK,1,100,RD
1618271926.534167,1814751.500,61361,2,AK,1,100,61357
1618271926.539842,1814757.000,61361,2,AK,1,100,RD
1618271929.188751,1817324.000,62264,2,AK,1,100,61357
1618271931.837659,1819891.000,62264,2,AK,1,100,RD
1618271931.844882,1819898.000,62266,2,AK,1,100,62262
1618271931.852106,1819905.000,62266,2,AK,1,100,RD
1618271934.483472,1822455.000,63168,2,AK,1,100,62262
1618271937.114838,1825005.000,63168,2,AK,1,100,RD
1618271937.136508,1825026.000,63170,2,AK,1,100,63166
1618271937.158178,1825047.000,63170,2,AK,1,100,RD
1618271939.794188,1827601.500,64071,2,AK,1,100,63166
1618271942.430197,1830156.000,64071,2,AK,1,100,RD
1618271942.458575,1830183.500,64073,2,AK,1,100,64069
1618271942.486952,1830211.000,64073,2,AK,1,100,RD
1618271945.106451,1832749.500,64973,2,AK,1,100,64069
1618271947.725950,1835288.000,64973,2,AK,1,100,RD
1618271947.731626,1835293.500,64975,2,AK,1,100,64971
1618271947.737301,1835299.000,64975,2,AK,1,100,RD
1618271950.371247,1837851.500,340,2,AK,1,100,64971
1618271953.005193,1840404.000,340,2,AK,1,100,RD
1618271953.021188,1840419.500,342,2,AK,1,100,338
1618271953.037182,1840435.000,342,2,AK,1,100,RD
1618271955.655649,1842972.500,1244,2,AK,1,100,338
1618271958.274116,1845510.000,1244,2,AK,1,100,RD
