EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1618272455.265892,2327134.000,21062,1,B%,1,100,14
1618272456.263747,2328101.000,21211,1,B%,1,100,13
1618272457.261603,2329068.000,21391,1,B%,1,100,14
1618272458.259458,2330035.000,21571,1,B%,1,100,15
1618272459.256281,2331001.000,21732,1,B%,1,100,14
1618272460.254137,2331968.000,21912,1,B%,1,100,15
1618272461.253024,2332936.000,22079,1,B%,1,100,15
1618272462.252943,2333905.000,22258,1,B%,1,100,15
1618272463.249766,2334871.000,22420,1,B%,1,100,15
1618272464.250717,2335841.000,22599,1,B%,1,100,15
1618272465.245477,2336805.000,22777,1,B%,1,100,15
1618272466.245396,2337774.000,22940,1,B%,1,100,16
1618272467.244283,2338742.000,23124,1,B%,1,100,15
1618272468.243170,2339710.000,23285,1,B%,1,100,15
1618272469.238962,2340675.000,23465,1,B%,1,100,14
1618272470.239913,2341645.000,23628,1,B%,1,100,14
1618272471.236736,2342611.000,23808,1,B%,1,100,13
1618272472.234591,2343578.000,23974,1,B%,1,100,14
1618272473.231415,2344544.000,24154,1,B%,1,100,14
1618272474.232366,2345514.000,24316,1,B%,1,100,14
1618272475.229189,2346480.000,24496,1,B%,1,100,15
1618272476.229108,2347449.000,24657,1,B%,1,100,15
1618272477.229027,2348418.000,24842,1,B%,1,100,14
1618272478.227914,2349386.000,25022,1,B%,1,100,14
1618272479.225770,2350353.000,25184,1,B%,1,100,14
1618272480.222593,2351319.000,25364,1,B%,1,100,14
1618272481.219416,2352285.000,25525,1,B%,1,100,14
1618272482.218303,2353253.000,25705,1,B%,1,100,14
1618272483.215127,2354219.000,25872,1,B%,1,100,14
1618272484.214014,2355187.000,26051,1,B%,1,100,13
1618272485.214965,2356157.000,26230,1,B%,1,100,14
1618272486.211788,2357123.000,26392,1,B%,1,100,14
1618272487.210675,2358091.000,26570,1,B%,1,100,14
1618272488.208531,2359058.000,26737,1,B%,1,100,14
1618272489.206386,2360025.000,26917,1,B%,1,100,14
1618272490.204242,2360992.000,27078,1,B%,1,100,14
1618272491.205192,2361962.000,27258,1,B%,1,100,14
1618272492.204080,2362930.000,27438,1,B%,1,100,14
1618272493.202967,2363898.000,27605,1,B%,1,100,14
1618272494.200822,2364865.000,27785,1,B%,1,100,14
1618272495.196614,2365830.000,27946,1,B%,1,100,14
1618272496.194469,2366797.000,28125,1,B%,1,100,14
1618272497.194388,2367766.000,28288,1,B%,1,100,14
1618272498.191211,2368732.000,28473,1,B%,1,100,14
1618272499.188035,2369698.000,28634,1,B%,1,100,14
1618272500.190017,2370669.000,28814,1,B%,1,100,14
1618272501.186841,2371635.000,28976,1,B%,1,100,14
1618272502.185728,2372603.000,29156,1,B%,1,100,14
1618272503.183583,2373570.000,29317,1,B%,1,100,13
1618272504.183502,2374539.000,29501,1,B%,1,100,14
1618272505.179294,2375504.000,29679,1,B%,1,100,14
1618272506.178181,2376472.000,29843,1,B%,1,100,14
1618272507.177068,2377440.000,30021,1,B%,1,100,14
1618272508.175955,2378408.000,30182,1,B%,1,100,14
1618272509.170715,2379372.000,30367,1,B%,1,100,14
1618272510.169602,2380340.000,30529,1,B%,1,100,14
1618272511.166425,2381306.000,30709,1,B%,1,100,13
1618272512.166345,2382275.000,30870,1,B%,1,100,13
1618272513.163168,2383241.000,31050,1,B%,1,100,13
1618272514.163087,2384210.000,31235,1,B%,1,100,13
1618272515.164038,2385180.000,31397,1,B%,1,100,13
1618272516.162925,2386148.000,31577,1,B%,1,100,14
1618272517.159749,2387114.000,31738,1,B%,1,100,14
1618272518.158636,2388082.000,31918,1,B%,1,100,14
1618272519.154427,2389047.000,32080,1,B%,1,100,14
1618272520.151251,2390013.000,32265,1,B%,1,100,14
1618272521.150138,2390981.000,32426,1,B%,1,100,14
1618272522.150057,2391950.000,32606,1,B%,1,100,14
1618272523.149976,2392919.000,32768,1,B%,1,100,13
1618272524.148863,2393887.000,32947,1,B%,1,100,13
1618272525.146718,2394854.000,33113,1,B%,1,100,13
1618272526.145606,2395822.000,33275,1,B%,1,100,13
1618272527.145525,2396791.000,33455,1,B%,1,100,14
1618272528.141316,2397756.000,33616,1,B%,1,100,14
1618272529.139171,2398723.000,33796,1,B%,1,100,14
1618272530.139091,2399692.000,33964,1,B%,1,100,14
1618272531.139009,2400661.000,34125,1,B%,1,100,13
1618272532.135833,2401627.000,34305,1,B%,1,100,14
1618272533.134720,2402595.000,34467,1,B%,1,100,14
1618272534.132575,2403562.000,34646,1,B%,1,100,14
1618272535.129399,2404528.000,34807,1,B%,1,100,14
1618272536.129318,2405497.000,34973,1,B%,1,100,14
1618272537.129237,2406466.000,35153,1,B%,1,100,14
1618272538.130188,2407436.000,35333,1,B%,1,100,14
1618272539.125979,2408401.000,35494,1,B%,1,100,14
1618272540.123835,2409368.000,35674,1,B%,1,100,13
1618272541.121690,2410335.000,35841,1,B%,1,100,13
1618272542.119545,2411302.000,36004,1,B%,1,100,13
1618272543.115337,2412267.000,36182,1,B%,1,100,13
1618272544.117320,2413238.000,36346,1,B%,1,100,14
1618272545.116207,2414206.000,36524,1,B%,1,100,14
1618272546.116126,2415175.000,36675,1,B%,1,100,14
1618272547.112949,2416141.000,36855,1,B%,1,100,14
1618272548.113900,2417111.000,37035,1,B%,1,100,14
1618272549.110723,2418077.000,37196,1,B%,1,100,14
1618272550.108579,2419044.000,37376,1,B%,1,100,13
1618272551.108498,2420013.000,37538,1,B%,1,100,13
1618272552.108417,2420982.000,37703,1,B%,1,100,13
1618272553.106272,2421949.000,37883,1,B%,1,100,13
