RD,TS_received,TS_sent,AK,RoundTrip,
2194258,2194272,2021-04-12_17-05-13-069772,2194289,2021-04-12_17-05-18-174893,2194292,31,
2199398,2199419,2021-04-12_17-05-18-323082,2199466,2021-04-12_17-05-23-521873,2199470,68,
2204517,2204530,2021-04-12_17-05-23-625499,2204547,2021-04-12_17-05-28-759493,2204550,30,
2209650,2209660,2021-04-12_17-05-28-944451,2209686,2021-04-12_17-05-34-062867,2209689,36,
2214758,2214771,2021-04-12_17-05-34-165657,2214790,2021-04-12_17-05-39-332067,2214792,32,
2219911,2219933,2021-04-12_17-05-39-490339,2220000,2021-04-12_17-05-44-716218,2220003,89,
2225053,2225065,2021-04-12_17-05-44-819789,2225083,2021-04-12_17-05-49-947578,2225086,30,
2230161,2230181,2021-04-12_17-05-50-041816,2230222,2021-04-12_17-05-55-263090,2230225,61,
2235269,2235280,2021-04-12_17-05-55-362455,2235301,2021-04-12_17-06-00-489023,2235304,32,
2240377,2240398,2021-04-12_17-06-00-583749,2240446,2021-04-12_17-06-05-807222,2240449,69,
2245489,2245502,2021-04-12_17-06-05-882359,2245519,2021-04-12_17-06-11-035273,2245522,30,
2250628,2250646,2021-04-12_17-06-11-133611,2250671,2021-04-12_17-06-16-354691,2250674,43,
2255739,2255750,2021-04-12_17-06-16-461602,2255769,2021-04-12_17-06-21-611541,2255772,30,
2260883,2260896,2021-04-12_17-06-21-684692,2260913,2021-04-12_17-06-26-919341,2260917,30,
2265991,2266009,2021-04-12_17-06-26-986958,2266048,2021-04-12_17-06-32-230426,2266051,57,
2271099,2271110,2021-04-12_17-06-32-327922,2271129,2021-04-12_17-06-37-459325,2271132,30,
2276257,2276268,2021-04-12_17-06-37-520205,2276287,2021-04-12_17-06-42-782048,2276290,30,
2281419,2281430,2021-04-12_17-06-42-876052,2281456,2021-04-12_17-06-48-110161,2281459,37,
2286581,2286599,2021-04-12_17-06-48-196622,2286616,2021-04-12_17-06-53-438205,2286619,35,
2291741,2291752,2021-04-12_17-06-53-524305,2291770,2021-04-12_17-06-58-758989,2291773,29,
2296904,2296916,2021-04-12_17-06-58-850642,2296934,2021-04-12_17-07-04-087130,2296937,30,
2302061,2302074,2021-04-12_17-07-04-175438,2302092,2021-04-12_17-07-09-412597,2302095,31,
2307169,2307181,2021-04-12_17-07-09-498972,2307199,2021-04-12_17-07-14-681166,2307203,30,
2312318,2312330,2021-04-12_17-07-14-748681,2312347,2021-04-12_17-07-19-994237,2312350,29,
2317426,2317439,2021-04-12_17-07-20-067728,2317459,2021-04-12_17-07-25-273986,2317463,33,
2322574,2322591,2021-04-12_17-07-25-339236,2322617,2021-04-12_17-07-30-593460,2322620,43,
2327682,2327703,2021-04-12_17-07-30-662354,2327774,2021-04-12_17-07-35-919533,2327778,92,
2332790,2332811,2021-04-12_17-07-36-024749,2332828,2021-04-12_17-07-41-141026,2332831,38,
2337939,2337961,2021-04-12_17-07-41-243582,2337991,2021-04-12_17-07-46-472057,2337995,52,
2343049,2343062,2021-04-12_17-07-46-530764,2343079,2021-04-12_17-07-51-709467,2343082,30,
2348200,2348213,2021-04-12_17-07-51-789701,2348231,2021-04-12_17-07-57-025463,2348234,31,
2353358,2353369,2021-04-12_17-07-57-116290,2353393,2021-04-12_17-08-02-348308,2353397,35,
2358509,2358529,2021-04-12_17-08-02-423654,2358548,2021-04-12_17-08-07-670094,2358551,39,
2363654,2363675,2021-04-12_17-08-07-743074,2363696,2021-04-12_17-08-12-991139,2363700,42,
2368762,2368773,2021-04-12_17-08-13-060772,2368799,2021-04-12_17-08-18-241459,2368802,37,
2373929,2373940,2021-04-12_17-08-18-413849,2373961,2021-04-12_17-08-23-573466,2373964,32,
2379075,2379087,2021-04-12_17-08-23-740454,2379104,2021-04-12_17-08-28-885846,2379109,29,
2384231,2384246,2021-04-12_17-08-28-971400,2384263,2021-04-12_17-08-34-204762,2384266,32,
2389339,2389350,2021-04-12_17-08-34-291154,2389368,2021-04-12_17-08-39-476876,2389373,29,
2394476,2394498,2021-04-12_17-08-39-612361,2394557,2021-04-12_17-08-44-838700,2394561,81,
2399631,2399651,2021-04-12_17-08-44-936039,2399708,2021-04-12_17-08-50-155148,2399711,77,
2404778,2404791,2021-04-12_17-08-50-260601,2404808,2021-04-12_17-08-55-408027,2404811,30,
2409896,2409918,2021-04-12_17-08-55-586912,2409942,2021-04-12_17-09-00-706598,2409946,46,
2415041,2415061,2021-04-12_17-09-00-833523,2415108,2021-04-12_17-09-06-037115,2415111,67,
2420171,2420182,2021-04-12_17-09-06-138484,2420202,2021-04-12_17-09-11-286572,2420205,31,
