EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1618271634.659436,1531902.000,11499,1,TH,1,100,35.206
1618271634.791520,1532030.000,11535,1,TH,1,100,35.206
1618271634.923604,1532158.000,11554,1,TH,1,100,35.199
1618271635.057753,1532288.000,11571,1,TH,1,100,35.199
1618271635.189837,1532416.000,11590,1,TH,1,100,35.267
1618271635.325017,1532547.000,11630,1,TH,1,100,35.267
1618271635.457101,1532675.000,11647,1,TH,1,100,35.173
1618271635.589185,1532803.000,11666,1,TH,1,100,35.173
1618271635.723333,1532933.000,11703,1,TH,1,100,35.226
1618271635.856450,1533062.000,11720,1,TH,1,100,35.226
1618271635.990598,1533192.000,11738,1,TH,1,100,35.165
1618271636.123714,1533321.000,11756,1,TH,1,100,35.172
1618271636.256830,1533450.000,11791,1,TH,1,100,35.144
1618271636.390978,1533580.000,11809,1,TH,1,100,35.144
1618271636.524094,1533709.000,11827,1,TH,1,100,35.220
1618271636.658242,1533839.000,11846,1,TH,1,100,35.220
1618271636.790327,1533967.000,11882,1,TH,1,100,35.215
1618271636.923443,1534096.000,11899,1,TH,1,100,35.215
1618271637.055527,1534224.000,11918,1,TH,1,100,35.245
1618271637.187611,1534352.000,11953,1,TH,1,100,35.245
1618271637.320727,1534481.000,11971,1,TH,1,100,35.235
1618271637.454875,1534611.000,11989,1,TH,1,100,35.235
1618271637.589024,1534741.000,12007,1,TH,1,100,35.205
1618271637.721108,1534869.000,12043,1,TH,1,100,35.205
1618271637.855256,1534999.000,12061,1,TH,1,100,35.146
1618271637.990436,1535130.000,12079,1,TH,1,100,35.146
