EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1618271639.556873,1536648.000,12348,1,T0,1,100,34.023
1618271639.689989,1536777.000,12383,1,T0,1,100,33.996
1618271639.824137,1536907.000,12401,1,T0,1,100,33.985
1618271639.955189,1537034.000,12420,1,T0,1,100,34.012
1618271640.089337,1537164.000,12438,1,T0,1,100,33.990
1618271640.222453,1537293.000,12472,1,T0,1,100,33.969
1618271640.354538,1537421.000,12491,1,T0,1,100,34.012
1618271640.487654,1537550.000,12509,1,T0,1,100,33.969
1618271640.619738,1537678.000,12528,1,T0,1,100,34.071
1618271640.754918,1537809.000,12568,1,T0,1,100,34.049
1618271640.887002,1537937.000,12586,1,T0,1,100,34.012
1618271641.019087,1538065.000,12605,1,T0,1,100,34.023
1618271641.153235,1538195.000,12639,1,T0,1,100,34.033
1618271641.284287,1538322.000,12657,1,T0,1,100,34.044
1618271641.418435,1538452.000,12676,1,T0,1,100,34.028
1618271641.550519,1538580.000,12694,1,T0,1,100,34.028
1618271641.683635,1538709.000,12729,1,T0,1,100,33.996
1618271641.816752,1538838.000,12748,1,T0,1,100,34.033
1618271641.950900,1538968.000,12766,1,T0,1,100,34.044
1618271642.084016,1539097.000,12784,1,T0,1,100,34.044
1618271642.215068,1539224.000,12819,1,T0,1,100,34.001
1618271642.348184,1539353.000,12837,1,T0,1,100,34.060
1618271642.481301,1539482.000,12856,1,T0,1,100,34.039
1618271642.613385,1539610.000,12891,1,T0,1,100,34.007
1618271642.746501,1539739.000,12909,1,T0,1,100,34.033
1618271642.878585,1539867.000,12928,1,T0,1,100,34.001
1618271643.013765,1539998.000,12946,1,T0,1,100,34.055
1618271643.144818,1540125.000,12980,1,T0,1,100,34.028
1618271643.278966,1540255.000,12999,1,T0,1,100,34.039
1618271643.413114,1540385.000,13017,1,T0,1,100,34.023
1618271643.546230,1540514.000,13052,1,T0,1,100,34.023
1618271643.679346,1540643.000,13071,1,T0,1,100,34.012
1618271643.812462,1540772.000,13089,1,T0,1,100,34.033
1618271643.945578,1540901.000,13108,1,T0,1,100,34.055
1618271644.078695,1541030.000,13142,1,T0,1,100,34.071
1618271644.211811,1541159.000,13160,1,T0,1,100,34.023
1618271644.343895,1541287.000,13179,1,T0,1,100,34.055
1618271644.475979,1541415.000,13197,1,T0,1,100,34.017
1618271644.610127,1541545.000,13231,1,T0,1,100,34.049
1618271644.744275,1541675.000,13251,1,T0,1,100,34.033
1618271644.877392,1541804.000,13269,1,T0,1,100,34.049
1618271645.010508,1541933.000,13303,1,T0,1,100,34.039
1618271645.143624,1542062.000,13322,1,T0,1,100,34.044
1618271645.278804,1542193.000,13340,1,T0,1,100,34.028
1618271645.410888,1542321.000,13359,1,T0,1,100,34.076
1618271645.545036,1542451.000,13376,1,T0,1,100,34.049
1618271645.679184,1542581.000,13412,1,T0,1,100,34.066
1618271645.812300,1542710.000,13431,1,T0,1,100,34.071
1618271645.945416,1542839.000,13454,1,T0,1,100,34.065
1618271646.077501,1542967.000,13473,1,T0,1,100,34.028
1618271646.210617,1543096.000,13507,1,T0,1,100,34.103
1618271646.343733,1543225.000,13525,1,T0,1,100,34.060
1618271646.476849,1543354.000,13544,1,T0,1,100,34.103
1618271646.608933,1543482.000,13561,1,T0,1,100,34.098
1618271646.742050,1543611.000,13597,1,T0,1,100,34.076
1618271646.876198,1543741.000,13616,1,T0,1,100,34.039
1618271647.008282,1543869.000,13634,1,T0,1,100,34.066
1618271647.142430,1543999.000,13668,1,T0,1,100,34.065
1618271647.275546,1544128.000,13687,1,T0,1,100,34.044
1618271647.410726,1544259.000,13705,1,T0,1,100,34.049
1618271647.543842,1544388.000,13724,1,T0,1,100,34.049
1618271647.675927,1544516.000,13759,1,T0,1,100,34.044
1618271647.810075,1544646.000,13777,1,T0,1,100,34.071
1618271647.941127,1544773.000,13796,1,T0,1,100,34.098
1618271648.074243,1544902.000,13831,1,T0,1,100,34.060
1618271648.206327,1545030.000,13848,1,T0,1,100,34.103
1618271648.338412,1545158.000,13867,1,T0,1,100,34.114
1618271648.472560,1545288.000,13885,1,T0,1,100,34.049
1618271648.605676,1545417.000,13919,1,T0,1,100,34.066
1618271648.739824,1545547.000,13939,1,T0,1,100,34.082
1618271648.871908,1545675.000,13957,1,T0,1,100,34.060
1618271649.006056,1545805.000,13976,1,T0,1,100,34.082
1618271649.139173,1545934.000,14010,1,T0,1,100,34.076
1618271649.271257,1546062.000,14028,1,T0,1,100,34.103
1618271649.405405,1546192.000,14047,1,T0,1,100,34.066
1618271649.537489,1546320.000,14065,1,T0,1,100,34.076
1618271649.672669,1546451.000,14100,1,T0,1,100,34.114
1618271649.803721,1546578.000,14119,1,T0,1,100,34.108
1618271649.936838,1546707.000,14137,1,T0,1,100,34.098
1618271650.070986,1546837.000,14171,1,T0,1,100,34.092
1618271650.203070,1546965.000,14190,1,T0,1,100,34.076
1618271650.336186,1547094.000,14208,1,T0,1,100,34.076
1618271650.468270,1547222.000,14227,1,T0,1,100,34.082
1618271650.601387,1547351.000,14261,1,T0,1,100,34.108
1618271650.735535,1547481.000,14280,1,T0,1,100,34.060
1618271650.868651,1547610.000,14299,1,T0,1,100,34.087
1618271651.002799,1547740.000,14334,1,T0,1,100,34.119
1618271651.134883,1547868.000,14351,1,T0,1,100,34.076
1618271651.269031,1547998.000,14375,1,T0,1,100,34.103
1618271651.403179,1548128.000,14393,1,T0,1,100,34.103
1618271651.536295,1548257.000,14427,1,T0,1,100,34.103
1618271651.669411,1548386.000,14446,1,T0,1,100,34.098
1618271651.801496,1548514.000,14465,1,T0,1,100,34.135
1618271651.936676,1548645.000,14499,1,T0,1,100,34.141
1618271652.067728,1548772.000,14518,1,T0,1,100,34.087
1618271652.200844,1548901.000,14536,1,T0,1,100,34.082
1618271652.333961,1549030.000,14555,1,T0,1,100,34.103
1618271652.466045,1549158.000,14589,1,T0,1,100,34.124
1618271652.599161,1549287.000,14607,1,T0,1,100,34.103
1618271652.732277,1549416.000,14627,1,T0,1,100,34.141
1618271652.866425,1549546.000,14645,1,T0,1,100,34.135
1618271653.000573,1549676.000,14679,1,T0,1,100,34.076
1618271653.133689,1549805.000,14698,1,T0,1,100,34.141
1618271653.266805,1549934.000,14716,1,T0,1,100,34.103
1618271653.398890,1550062.000,14751,1,T0,1,100,34.119
1618271653.533038,1550192.000,14769,1,T0,1,100,34.151
1618271653.665122,1550320.000,14787,1,T0,1,100,34.146
1618271653.798238,1550449.000,14807,1,T0,1,100,34.141
1618271653.931354,1550578.000,14841,1,T0,1,100,34.071
1618271654.064471,1550707.000,14859,1,T0,1,100,34.108
1618271654.197587,1550836.000,14878,1,T0,1,100,34.146
1618271654.328639,1550963.000,14896,1,T0,1,100,34.103
1618271654.462787,1551093.000,14930,1,T0,1,100,34.119
1618271654.594871,1551221.000,14949,1,T0,1,100,34.119
1618271654.729019,1551351.000,14968,1,T0,1,100,34.151
1618271654.862136,1551480.000,15002,1,T0,1,100,34.130
1618271654.994220,1551608.000,15021,1,T0,1,100,34.157
1618271655.128368,1551738.000,15039,1,T0,1,100,34.135
1618271655.261484,1551867.000,15058,1,T0,1,100,34.130
1618271655.394600,1551996.000,15092,1,T0,1,100,34.167
1618271655.526685,1552124.000,15110,1,T0,1,100,34.135
1618271655.660833,1552254.000,15129,1,T0,1,100,34.130
1618271655.793949,1552383.000,15148,1,T0,1,100,34.114
1618271655.926033,1552511.000,15182,1,T0,1,100,34.141
1618271656.059149,1552640.000,15201,1,T0,1,100,34.146
1618271656.191233,1552768.000,15219,1,T0,1,100,34.151
1618271656.325382,1552898.000,15254,1,T0,1,100,34.087
1618271656.457466,1553026.000,15272,1,T0,1,100,34.130
1618271656.589550,1553154.000,15295,1,T0,1,100,34.103
1618271656.723698,1553284.000,15315,1,T0,1,100,34.119
1618271656.855782,1553412.000,15349,1,T0,1,100,34.065
1618271656.989930,1553542.000,15367,1,T0,1,100,34.141
1618271657.122015,1553670.000,15386,1,T0,1,100,34.146
1618271657.254099,1553798.000,15404,1,T0,1,100,34.135
1618271657.388247,1553928.000,15438,1,T0,1,100,34.151
1618271657.520331,1554056.000,15457,1,T0,1,100,34.151
1618271657.653447,1554185.000,15475,1,T0,1,100,34.130
1618271657.785532,1554313.000,15511,1,T0,1,100,34.178
1618271657.918648,1554442.000,15529,1,T0,1,100,34.124
1618271658.052796,1554572.000,15547,1,T0,1,100,34.119
1618271658.184880,1554700.000,15566,1,T0,1,100,34.178
1618271658.319028,1554830.000,15600,1,T0,1,100,34.167
1618271658.452144,1554959.000,15618,1,T0,1,100,34.130
1618271658.587324,1555090.000,15637,1,T0,1,100,34.178
1618271658.719409,1555218.000,15656,1,T0,1,100,34.178
