EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1618271629.491640,1526894.000,10620,3,MX,1,100,-64
1618271629.525177,1526926.500,10638,2,MX,1,100,-63
1618271629.558714,1526959.000,10638,2,MX,1,100,-63
1618271629.603774,1527002.667,10654,3,MX,1,100,-63
1618271629.648834,1527046.333,10654,3,MX,1,100,-63
1618271629.693894,1527090.000,10654,3,MX,1,100,-63
1618271629.734654,1527129.500,10674,2,MX,1,100,-63
1618271629.775414,1527169.000,10674,2,MX,1,100,-63
1618271629.814627,1527207.000,10692,3,MX,1,100,-63
1618271629.853839,1527245.000,10692,3,MX,1,100,-63
1618271629.893052,1527283.000,10692,3,MX,1,100,-63
1618271629.931921,1527320.667,10711,3,MX,1,100,-63
1618271629.970789,1527358.333,10711,3,MX,1,100,-63
1618271630.009657,1527396.000,10711,3,MX,1,100,-63
1618271630.050934,1527436.000,10735,4,MX,1,100,-63
1618271630.092210,1527476.000,10735,4,MX,1,100,-63
1618271630.133487,1527516.000,10735,4,MX,1,100,-63
1618271630.174763,1527556.000,10735,4,MX,1,100,-62
1618271630.213975,1527594.000,10753,3,MX,1,100,-62
1618271630.253188,1527632.000,10753,3,MX,1,100,-63
1618271630.292400,1527670.000,10753,3,MX,1,100,-64
1618271630.333677,1527710.000,10771,2,MX,1,100,-64
1618271630.374953,1527750.000,10771,2,MX,1,100,-64
1618271630.414165,1527788.000,10788,3,MX,1,100,-64
1618271630.453378,1527826.000,10788,3,MX,1,100,-64
1618271630.492591,1527864.000,10788,3,MX,1,100,-64
1618271630.531459,1527901.667,10806,3,MX,1,100,-64
1618271630.570328,1527939.333,10806,3,MX,1,100,-64
1618271630.609196,1527977.000,10806,3,MX,1,100,-64
1618271630.650472,1528017.000,10824,2,MX,1,100,-64
1618271630.691749,1528057.000,10824,2,MX,1,100,-64
1618271630.733541,1528097.500,10844,2,MX,1,100,-64
1618271630.775333,1528138.000,10844,2,MX,1,100,-64
1618271630.814546,1528176.000,10861,3,MX,1,100,-64
1618271630.853758,1528214.000,10861,3,MX,1,100,-64
1618271630.892971,1528252.000,10861,3,MX,1,100,-64
1618271630.936999,1528294.667,10878,3,MX,1,100,-64
1618271630.981027,1528337.333,10878,3,MX,1,100,-64
1618271631.025055,1528380.000,10878,3,MX,1,100,-63
1618271631.066332,1528420.000,10896,2,MX,1,100,-63
1618271631.107608,1528460.000,10896,2,MX,1,100,-63
1618271631.146132,1528497.333,10915,3,MX,1,100,-63
1618271631.184657,1528534.667,10915,3,MX,1,100,-64
1618271631.223181,1528572.000,10915,3,MX,1,100,-64
1618271631.264974,1528612.500,10932,2,MX,1,100,-64
1618271631.306766,1528653.000,10932,2,MX,1,100,-64
1618271631.345635,1528690.667,10951,3,MX,1,100,-64
1618271631.384503,1528728.333,10951,3,MX,1,100,-64
1618271631.423372,1528766.000,10951,3,MX,1,100,-64
1618271631.462240,1528803.667,10967,3,MX,1,100,-64
1618271631.501109,1528841.333,10967,3,MX,1,100,-64
1618271631.539977,1528879.000,10967,3,MX,1,100,-63
1618271631.581254,1528919.000,10986,2,MX,1,100,-63
1618271631.622530,1528959.000,10986,2,MX,1,100,-63
1618271631.661055,1528996.333,11004,3,MX,1,100,-62
1618271631.699579,1529033.667,11004,3,MX,1,100,-63
1618271631.738104,1529071.000,11004,3,MX,1,100,-63
1618271631.780412,1529112.000,11023,2,MX,1,100,-63
1618271631.822720,1529153.000,11023,2,MX,1,100,-63
1618271631.867436,1529196.333,11040,3,MX,1,100,-62
1618271631.912152,1529239.667,11040,3,MX,1,100,-64
