EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1618271622.199144,1519827.000,9362,3,PI,1,100,157338
1618271622.238357,1519865.000,9362,3,PI,1,100,157022
1618271622.279117,1519904.500,9377,2,PI,1,100,156414
1618271622.319877,1519944.000,9377,2,PI,1,100,156096
1618271622.363905,1519986.667,9396,3,PI,1,100,156041
1618271622.407933,1520029.333,9396,3,PI,1,100,156164
1618271622.451962,1520072.000,9396,3,PI,1,100,156342
1618271622.486015,1520105.000,9414,2,PI,1,100,156442
1618271622.520067,1520138.000,9414,2,PI,1,100,156423
1618271622.564440,1520181.000,9433,3,PI,1,100,156331
1618271622.608812,1520224.000,9433,3,PI,1,100,156351
1618271622.653184,1520267.000,9433,3,PI,1,100,156428
1618271622.686205,1520299.000,9450,2,PI,1,100,156538
1618271622.719226,1520331.000,9450,2,PI,1,100,156653
1618271622.763942,1520374.333,9468,3,PI,1,100,156743
1618271622.808658,1520417.667,9468,3,PI,1,100,156846
1618271622.853374,1520461.000,9468,3,PI,1,100,156921
1618271622.892586,1520499.000,9486,3,PI,1,100,156997
1618271622.931799,1520537.000,9486,3,PI,1,100,157053
1618271622.971011,1520575.000,9486,3,PI,1,100,156702
1618271623.012804,1520615.500,9505,2,PI,1,100,156142
1618271623.054596,1520656.000,9505,2,PI,1,100,155845
1618271623.093808,1520694.000,9523,3,PI,1,100,155823
1618271623.133021,1520732.000,9523,3,PI,1,100,155895
1618271623.172234,1520770.000,9523,3,PI,1,100,156070
1618271623.213510,1520810.000,9541,2,PI,1,100,156148
1618271623.254786,1520850.000,9541,2,PI,1,100,156140
1618271623.293655,1520887.667,9557,3,PI,1,100,156106
1618271623.332523,1520925.333,9557,3,PI,1,100,156140
1618271623.371392,1520963.000,9557,3,PI,1,100,156229
1618271623.409572,1521000.000,9576,3,PI,1,100,156338
1618271623.447753,1521037.000,9576,3,PI,1,100,156451
