EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1618272207.050683,2086594.000,44011,2,RD,1,100,TU
1618272209.687725,2089149.500,44913,2,RD,1,100,TL
1618272212.324766,2091705.000,44913,2,RD,1,100,TU
1618272214.964388,2094263.000,45816,2,RD,1,100,TL
1618272217.604009,2096821.000,45816,2,RD,1,100,TU
1618272220.243114,2099378.500,46721,2,RD,1,100,TL
1618272222.882220,2101936.000,46721,2,RD,1,100,TU
1618272225.518229,2104490.500,47621,2,RD,1,100,TL
1618272228.154239,2107045.000,47621,2,RD,1,100,TU
1618272230.809855,2109618.500,48524,2,RD,1,100,TL
1618272233.465471,2112192.000,48524,2,RD,1,100,TU
1618272236.112315,2114757.000,49429,2,RD,1,100,TL
1618272238.759160,2117322.000,49429,2,RD,1,100,TU
1618272241.417356,2119898.000,50334,2,RD,1,100,TL
1618272244.075551,2122474.000,50334,2,RD,1,100,TU
1618272246.722912,2125039.500,51238,2,RD,1,100,TL
1618272249.370272,2127605.000,51238,2,RD,1,100,TU
1618272252.008862,2130162.000,52141,2,RD,1,100,TL
1618272254.647451,2132719.000,52141,2,RD,1,100,TU
1618272257.285008,2135275.000,53044,2,RD,1,100,TL
1618272259.922566,2137831.000,53044,2,RD,1,100,TU
1618272262.570442,2140397.000,53948,2,RD,1,100,TL
1618272265.218319,2142963.000,53948,2,RD,1,100,TU
1618272267.865164,2145528.000,54851,2,RD,1,100,TL
1618272270.512008,2148093.000,54851,2,RD,1,100,TU
1618272273.163496,2150662.500,55754,2,RD,1,100,TL
1618272275.814985,2153232.000,55754,2,RD,1,100,TU
1618272278.454606,2155790.000,56657,2,RD,1,100,TL
1618272281.094227,2158348.000,56657,2,RD,1,100,TU
1618272283.746747,2160918.500,57562,2,RD,1,100,TL
1618272286.399268,2163489.000,57562,2,RD,1,100,TU
1618272289.035793,2166044.000,58467,2,RD,1,100,TL
1618272291.672319,2168599.000,58467,2,RD,1,100,TU
1618272294.320711,2171165.500,59369,2,RD,1,100,TL
1618272296.969104,2173732.000,59369,2,RD,1,100,TU
1618272299.614401,2176295.500,60273,2,RD,1,100,TL
1618272302.259697,2178859.000,60273,2,RD,1,100,TU
1618272304.907058,2181424.500,61179,2,RD,1,100,TL
1618272307.554419,2183990.000,61179,2,RD,1,100,TU
1618272310.197135,2186551.000,62079,2,RD,1,100,TL
1618272312.839853,2189112.000,62079,2,RD,1,100,TU
1618272315.494952,2191685.000,62983,2,RD,1,100,TL
1618272318.150052,2194258.000,62983,2,RD,1,100,TU
1618272320.802057,2196828.000,63886,2,RD,1,100,TL
1618272323.454061,2199398.000,63886,2,RD,1,100,TU
1618272326.095230,2201957.500,64791,2,RD,1,100,TL
1618272328.736399,2204517.000,64791,2,RD,1,100,TU
1618272331.384792,2207083.500,159,2,RD,1,100,TL
1618272334.033184,2209650.000,159,2,RD,1,100,TU
1618272336.668678,2212204.000,1063,2,RD,1,100,TL
1618272339.304171,2214758.000,1063,2,RD,1,100,TU
1618272341.962883,2217334.500,1984,2,RD,1,100,TL
1618272344.621595,2219911.000,1984,2,RD,1,100,TU
1618272347.274631,2222482.000,2889,2,RD,1,100,TL
1618272349.927667,2225053.000,2889,2,RD,1,100,TU
1618272352.563160,2227607.000,3791,2,RD,1,100,TL
1618272355.198654,2230161.000,3791,2,RD,1,100,TU
1618272357.834148,2232715.000,4694,2,RD,1,100,TL
1618272360.469641,2235269.000,4694,2,RD,1,100,TU
1618272363.105135,2237823.000,5599,2,RD,1,100,TL
1618272365.740629,2240377.000,5599,2,RD,1,100,TU
1618272368.378186,2242933.000,6502,2,RD,1,100,TL
1618272371.015743,2245489.000,6502,2,RD,1,100,TU
1618272373.667232,2248058.500,7422,2,RD,1,100,TL
1618272376.318720,2250628.000,7422,2,RD,1,100,TU
1618272378.955762,2253183.500,8327,2,RD,1,100,TL
1618272381.592803,2255739.000,8327,2,RD,1,100,TU
1618272384.246871,2258311.000,9248,2,RD,1,100,TL
1618272386.900939,2260883.000,9248,2,RD,1,100,TU
1618272389.536433,2263437.000,10151,2,RD,1,100,TL
1618272392.171926,2265991.000,10151,2,RD,1,100,TU
1618272394.807420,2268545.000,11057,2,RD,1,100,TL
1618272397.442914,2271099.000,11057,2,RD,1,100,TU
1618272400.104205,2273678.000,11977,2,RD,1,100,TL
1618272402.765496,2276257.000,11977,2,RD,1,100,TU
1618272405.428852,2278838.000,12897,2,RD,1,100,TL
1618272408.092207,2281419.000,12897,2,RD,1,100,TU
1618272410.755562,2284000.000,13820,2,RD,1,100,TL
1618272413.418917,2286581.000,13820,2,RD,1,100,TU
1618272416.081240,2289161.000,14740,2,RD,1,100,TL
1618272418.743564,2291741.000,14740,2,RD,1,100,TU
1618272421.407435,2294322.500,15661,2,RD,1,100,TL
1618272424.071306,2296904.000,15661,2,RD,1,100,TU
1618272426.732081,2299482.500,16582,2,RD,1,100,TL
1618272429.392857,2302061.000,16582,2,RD,1,100,TU
1618272432.028350,2304615.000,17485,2,RD,1,100,TL
1618272434.663844,2307169.000,17485,2,RD,1,100,TU
1618272437.320492,2309743.500,18408,2,RD,1,100,TL
1618272439.977139,2312318.000,18408,2,RD,1,100,TU
1618272442.612633,2314872.000,19311,2,RD,1,100,TL
1618272445.248127,2317426.000,19311,2,RD,1,100,TU
1618272447.904259,2320000.000,20232,2,RD,1,100,TL
1618272450.560390,2322574.000,20232,2,RD,1,100,TU
1618272453.195884,2325128.000,21135,2,RD,1,100,TL
1618272455.831378,2327682.000,21135,2,RD,1,100,TU
1618272458.466872,2330236.000,22037,2,RD,1,100,TL
1618272461.102365,2332790.000,22037,2,RD,1,100,TU
1618272463.759013,2335364.500,22958,2,RD,1,100,TL
1618272466.415661,2337939.000,22958,2,RD,1,100,TU
1618272469.052186,2340494.000,23863,2,RD,1,100,TL
1618272471.688712,2343049.000,23863,2,RD,1,100,TU
1618272474.346391,2345624.500,24785,2,RD,1,100,TL
1618272477.004071,2348200.000,24785,2,RD,1,100,TU
1618272479.665363,2350779.000,25706,2,RD,1,100,TL
1618272482.326654,2353358.000,25706,2,RD,1,100,TU
1618272484.984334,2355933.500,26626,2,RD,1,100,TL
1618272487.642013,2358509.000,26626,2,RD,1,100,TU
1618272490.296597,2361081.500,27546,2,RD,1,100,TL
1618272492.951181,2363654.000,27546,2,RD,1,100,TU
1618272495.586675,2366208.000,28450,2,RD,1,100,TL
1618272498.222168,2368762.000,28450,2,RD,1,100,TU
1618272500.888103,2371345.500,29371,2,RD,1,100,TL
1618272503.554038,2373929.000,29371,2,RD,1,100,TU
1618272506.209138,2376502.000,30291,2,RD,1,100,TL
1618272508.864238,2379075.000,30291,2,RD,1,100,TU
1618272511.524498,2381653.000,31212,2,RD,1,100,TL
1618272514.184757,2384231.000,31212,2,RD,1,100,TU
1618272516.820251,2386785.000,32115,2,RD,1,100,TL
1618272519.455744,2389339.000,32115,2,RD,1,100,TU
1618272522.106201,2391907.500,33037,2,RD,1,100,TL
1618272524.756657,2394476.000,33037,2,RD,1,100,TU
1618272527.416400,2397053.500,33940,2,RD,1,100,TL
1618272530.076144,2399631.000,33940,2,RD,1,100,TU
1618272532.731760,2402204.500,34843,2,RD,1,100,TL
1618272535.387376,2404778.000,34843,2,RD,1,100,TU
1618272538.028029,2407337.000,35746,2,RD,1,100,TL
1618272540.668682,2409896.000,35746,2,RD,1,100,TU
1618272543.323266,2412468.500,36651,2,RD,1,100,TL
1618272545.977850,2415041.000,36651,2,RD,1,100,TU
1618272548.624695,2417606.000,37556,2,RD,1,100,TL
1618272551.271539,2420171.000,37556,2,RD,1,100,TU
