EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1618271631.988600,1529313.750,11043,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271632.040453,1529364.000,11043,4,EM,1,100,PS
1618271632.092306,1529414.250,11079,4,EM,1,100,RS
1618271632.144160,1529464.500,11079,4,EM,1,100,RB
1618271632.196013,1529514.750,11079,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271632.247866,1529565.000,11079,4,EM,1,100,PS
1618271632.299720,1529615.250,11115,4,EM,1,100,RS
1618271632.351573,1529665.500,11115,4,EM,1,100,RB
1618271632.403427,1529715.750,11115,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271632.455280,1529766.000,11115,4,EM,1,100,PS
1618271632.507133,1529816.250,11150,4,EM,1,100,RS
1618271632.558987,1529866.500,11150,4,EM,1,100,RB
1618271632.610840,1529916.750,11150,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271632.662694,1529967.000,11150,4,EM,1,100,PS
1618271632.714547,1530017.250,11187,4,EM,1,100,RS
1618271632.766400,1530067.500,11187,4,EM,1,100,RB
1618271632.818254,1530117.750,11187,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271632.870107,1530168.000,11187,4,EM,1,100,PS
1618271632.921961,1530218.250,11222,4,EM,1,100,RS
1618271632.973814,1530268.500,11222,4,EM,1,100,RB
1618271633.025667,1530318.750,11222,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271633.077521,1530369.000,11222,4,EM,1,100,PS
1618271633.129374,1530419.250,11259,4,EM,1,100,RS
1618271633.181227,1530469.500,11259,4,EM,1,100,RB
1618271633.233081,1530519.750,11259,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271633.284934,1530570.000,11259,4,EM,1,100,PS
1618271633.336788,1530620.250,11293,4,EM,1,100,RS
1618271633.388641,1530670.500,11293,4,EM,1,100,RB
1618271633.440495,1530720.750,11293,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271633.492348,1530771.000,11293,4,EM,1,100,PS
1618271633.544201,1530821.250,11330,4,EM,1,100,RS
1618271633.596055,1530871.500,11330,4,EM,1,100,RB
1618271633.647908,1530921.750,11330,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271633.699761,1530972.000,11330,4,EM,1,100,PS
1618271633.751615,1531022.250,11367,4,EM,1,100,RS
1618271633.803468,1531072.500,11367,4,EM,1,100,RB
1618271633.855322,1531122.750,11367,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271633.907175,1531173.000,11367,4,EM,1,100,PS
1618271633.959028,1531223.250,11402,4,EM,1,100,RS
1618271634.010882,1531273.500,11402,4,EM,1,100,RB
1618271634.062735,1531323.750,11402,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271634.114588,1531374.000,11402,4,EM,1,100,PS
1618271634.166442,1531424.250,11438,4,EM,1,100,RS
1618271634.218295,1531474.500,11438,4,EM,1,100,RB
1618271634.270149,1531524.750,11438,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271634.322002,1531575.000,11438,4,EM,1,100,PS
1618271634.373855,1531625.250,11473,4,EM,1,100,RS
1618271634.425709,1531675.500,11473,4,EM,1,100,RB
1618271634.477562,1531725.750,11473,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271634.529416,1531776.000,11473,4,EM,1,100,PS
1618271634.581269,1531826.250,11511,4,EM,1,100,RS
1618271634.633122,1531876.500,11511,4,EM,1,100,RB
1618271634.684976,1531926.750,11511,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271634.736829,1531977.000,11511,4,EM,1,100,PS
1618271634.788682,1532027.250,11546,4,EM,1,100,RS
1618271634.840536,1532077.500,11546,4,EM,1,100,RB
1618271634.892389,1532127.750,11546,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271634.944243,1532178.000,11546,4,EM,1,100,PS
1618271634.996096,1532228.250,11582,4,EM,1,100,RS
1618271635.047950,1532278.500,11582,4,EM,1,100,RB
1618271635.099803,1532328.750,11582,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271635.151656,1532379.000,11582,4,EM,1,100,PS
1618271635.203510,1532429.250,11618,4,EM,1,100,RS
1618271635.255363,1532479.500,11618,4,EM,1,100,RB
1618271635.307216,1532529.750,11618,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271635.359070,1532580.000,11618,4,EM,1,100,PS
1618271635.410923,1532630.250,11658,4,EM,1,100,RS
1618271635.462777,1532680.500,11658,4,EM,1,100,RB
1618271635.514630,1532730.750,11658,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271635.566483,1532781.000,11658,4,EM,1,100,PS
